label,encoder_type,encoder_model,embedding_dim,accuracy,macro_f1_all,macro_f1_fg,weighted_f1_all,weighted_f1_fg,iters,converged,model_path,labelmap_path,meta_path,job_id,macro_precision_fg,macro_recall_fg,phase_total,phase_scan,phase_embed,phase_train,phase_save,phase_calibration
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8307109758627844,0.7921612158581791,0.7437492014418973,0.8403681983614206,0.8346861571156933,40,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_arcface_bg5.meta.pkl,bf0cda2b03884bfd9f5b7f15269ac596,0.6943096227200657,0.8348666400128303,441.2384788915515,0.0566153097897768,2.5735258236527443,436.5541005525738,0.03843263164162636,
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8387163704267239,0.7996281502988966,0.7589707002074865,0.8480307585655916,0.8437631725659246,18,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_both_bg5.meta.pkl,1479d949db594fbc86199fb78a846b66,0.7108206340776855,0.8456765414361734,155.0933774895966,0.0536582637578249,2.4895410034805536,150.99599288962781,0.04001561738550663,
qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8867314475413237,0.8390441306875721,0.8056756554747895,0.8835334318782407,0.8806881570938463,30,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp512_mix0p1_balnorm_ls0p1_logit_train_bg5.meta.pkl,da15414047a84a10aa191bc984371f02,0.8855201847264315,0.7580434216071823,256.56716383993626,0.0533504206687212,2.578256867825985,252.32292929664254,0.0487107802182436,
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8313507158171382,0.7979881031572088,0.7513235220728528,0.8406963053107548,0.8348117139527717,29,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_arcface_bg5.meta.pkl,08ea8673bffb414b8d61804aa1644617,0.7047672489342626,0.8334797460859479,330.50763575546443,0.05416569486260414,2.615438560023904,326.2350412327796,0.05767747201025486,
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8706687876063351,0.8290799620703685,0.7979021420826857,0.8743466864283961,0.871944146385483,25,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_both_bg5.meta.pkl,1a93bc6d90654eaaa8c9b65e7d41663a,0.7630442019512121,0.845584934982873,217.05066951550543,0.053780704736709595,2.582856848835945,212.8086969461292,0.0691490937024355,
qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5,dinov3,facebook/dinov3-vitb16-pretrain-lvd1689m,768,0.8909675634552874,0.8427772625382576,0.810685198514411,0.8883326760638227,0.8857740794446048,25,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitb16_mlp768_mix0p1_balnorm_ls0p1_logit_train_bg5.meta.pkl,1dacc462926c460785316a19097e2204,0.8858990222589177,0.769433262771193,210.72768038138747,0.05216805450618267,2.4585470240563154,206.6396652776748,0.06049983575940132,
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5,dinov3,facebook/dinov3-vitl16-pretrain-lvd1689m,1024,0.8612974617885054,0.8321912840231204,0.7898370088333674,0.8672257141965642,0.8616168567775225,21,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_arcface_bg5.meta.pkl,fab360e0cf7d46ca85cfd374ff30272d,0.7523281395439166,0.8475941809787627,514.5862918011844,0.05455336160957813,3.3507872689515352,509.2460191901773,0.1622050739824772,
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5,dinov3,facebook/dinov3-vitl16-pretrain-lvd1689m,1024,0.8824434608202504,0.8472074084397019,0.8148388068131999,0.886277995916263,0.8830978143414866,23,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_both_bg5.meta.pkl,52c8fc12e06b44209cd2de6284ec5996,0.7823918470343413,0.8604059709597461,437.93555914983153,0.05413076840341091,3.1162945218384266,432.6136643309146,0.1633296888321638,
qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5,dinov3,facebook/dinov3-vitl16-pretrain-lvd1689m,1024,0.8976588975724462,0.8653480660319994,0.8366657599305715,0.8970370945012299,0.8940169188517286,16,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp1024_512_mix0p1_balnorm_ls0p1_logit_train_bg5.meta.pkl,be0a66fb712246ba9a887e5a3917171e,0.8725180576678905,0.8143685673335274,322.0170195028186,0.05362812988460064,3.1582446098327637,316.779944030568,0.16048188880085945,
qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5,dinov3,facebook/dinov3-vitl16-pretrain-lvd1689m,1024,0.8607268829102981,0.8352314722563098,0.795619191649036,0.8660353813307189,0.8606734776289627,25,True,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5.pkl,/home/steph/Tator/uploads/labelmaps/qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5_labels.pkl,/home/steph/Tator/uploads/classifiers/qwen_dataset_dinov3_vitl16_mlp768_384_mix0p1_balnorm_ls0p1_arcface_bg5.meta.pkl,c2f3a461e77849db985d9c5cf12e43b7,0.7630588639325878,0.8450233962836996,590.2462536543608,0.05433780513703823,3.3085451889783144,584.9085739180446,0.11436007544398308,
